lexid,first_name,last_name,ssn,vin
8888090530,Heath,Craufurd,486-95-7376,1FTSX2A51AE389727
8888090531,Tani,Bedell,160-67-7547,JN1BJ0HP3EM328006
8888090532,Grove,Casaccia,105-41-9826,JTDKDTB38E1671911
8888090533,Dena,Dibner,439-64-0448,1G6DH5E55C0557506
8888090534,Mariam,Pagden,333-52-1023,WBAUP73578V811268
8888090535,Mathilda,Mill,686-67-5033,2C3CK6CT7BH034228
8888090536,Helen,Spancock,790-68-9264,1HGCR2F39EA934225
8888090537,Morty,Brydell,264-13-1418,1FTWW3B52AE657032
8888090538,Orlan,Maulden,896-34-8473,WAUEH98E86A423461
8888090539,Marja,Huckster,683-97-1371,5N1AR2MM0EC282449
8888090540,Boniface,O'Dea,188-64-2147,WAUKFAFL9BN654819
8888090541,Kristo,Recher,294-32-0364,1HGCR6F5XEA508973
8888090542,Isabeau,Tolmie,728-29-9810,1G6DM8EV0A0164832
8888090543,Morrie,Gurley,177-37-9944,3N1AB6AP1BL465425
8888090544,Patton,Regus,838-39-2450,4A31K5DF0AE133773
8888090545,Celinda,Simchenko,834-67-1807,1G4PR5SK5C4790484
8888090546,Cliff,Kingerby,852-25-2929,WBSBL93461J846267
8888090547,Marjy,Dutch,720-52-6294,5GADT13S852767099
8888090548,Noland,Parmiter,433-71-6824,2C3CA9CTXAH107014
8888090549,Shelby,Mundell,710-08-9378,WAUML54B83N169799
8888090550,Kissiah,Jelleman,834-36-5875,KNADH5A32B6621267
8888090551,Jimmy,Coopey,805-18-2910,JTEBU4BF4CK031665
8888090552,Muire,Slainey,489-44-6141,1N6AF0KYXEN636776
8888090553,Donny,Bunting,549-59-6843,5GAER23D99J103836
8888090554,Bettye,Ellicombe,746-42-1227,WAUWKAFR3AA429898
8888090555,Herold,Berrick,257-69-5717,WAUHE98P89A131594
8888090556,Andria,Stanger,647-20-3694,WBAWL7C5XAP271347
8888090557,Melinda,Wherry,578-79-7083,3VWKX7AJ0DM546835
8888090558,Reiko,Ebanks,489-16-2805,1GD02ZCG6BF181284
8888090559,Ingra,Marshman,181-57-6473,KMHHU6KJ5FU939951
8888090560,Alvan,Clack,597-23-2389,SCBLF44J69C520532
8888090561,Marc,Murrells,674-70-4290,1FADP5AU0FL579547
8888090562,Joseph,Klesse,499-83-9698,WAUVFAFH8DN762067
8888090563,Pammy,Sanbrooke,375-77-4215,WA1WMBFE9DD949164
8888090564,Fletch,Cansdall,271-91-4085,1G4GE5ED1BF003283
8888090565,Gloria,Burgan,591-08-9400,1G4GD5ER4CF635971
8888090566,Heriberto,Minghella,875-72-3516,WBAYA6C53DC294957
8888090567,Web,Magauran,816-60-4366,4A31K5DF8CE593248
8888090568,Tiff,Hewes,442-28-2979,1D7RE5GK3AS537261
8888090569,Dorette,Jesty,247-56-1907,JM3TB2BA3F0508357
8888090570,Arlyne,Gusticke,894-70-7609,1FMCU5K33AK392007
8888090571,Karol,Allwell,773-59-7686,1GTC5LF9XB8059955
8888090572,Jamey,Reilly,814-66-5693,1GYS4CEF6DR376841
8888090573,Benni,Mitchley,707-43-0121,2C3CA4CD6AH422601
8888090574,Forster,Bartelet,739-41-7261,WP0CA2A85FS906183
8888090575,Melinde,Judron,689-93-1893,1G4GD5ED5BF226025
8888090576,Jane,Crutcher,731-63-3157,WAUSF98KX9A778263
8888090577,Jesse,Brooks,350-70-1416,WBAEJ13451A553307
8888090578,Berne,Rubenchik,899-79-2595,WBAPK5C57AA051985
8888090579,Minnie,Ridges,587-33-5227,3GYFK66N46G431403
8888090580,Haze,Lally,222-30-0188,1C3CDFDH9ED311161
8888090581,Cheryl,MacDowall,343-93-4526,5N1AA0NC2FN495510
8888090582,Riva,Surguine,488-52-8611,WVWAA7AJ6CW120517
8888090583,Aurelia,Rodolphe,358-38-4348,WAUFEAFM6CA991597
8888090584,Skyler,Yonnie,537-18-3309,WAUDFAFL2DA308081
8888090585,Lock,Mulvenna,624-31-4154,WAUDK78T89A708973
8888090586,Tadeo,Iglesia,867-93-1722,JH4CL95996C287134
