lexid,street_name,city,state,zip
8888090530,Prentice,Columbia,MO,65218
8888090531,Talmadge,Rochester,NY,14652
8888090532,3rd,Raleigh,NC,27690
8888090533,Glacier Hill,Greensboro,NC,27425
8888090534,Summit,Waterbury,CT,6705
8888090535,Bay,Waco,TX,76705
8888090536,Waywood,East Saint Louis,IL,62205
8888090537,Pine View,Washington,DC,20299
8888090538,Tomscot,Houston,TX,77240
8888090539,Mcbride,Spartanburg,SC,29305
8888090540,Warbler,Brooklyn,NY,11236
8888090541,Red Cloud,New York City,NY,10170
8888090542,Transport,New York City,NY,10155
8888090543,Mosinee,Green Bay,WI,54305
8888090544,Meadow Vale,Brooklyn,NY,11231
8888090545,Manley,Charlotte,NC,28205
8888090546,Ramsey,Fresno,CA,93750
8888090547,Linden,Bradenton,FL,34282
8888090548,Spaight,Detroit,MI,48267
8888090549,Anthes,Hampton,VA,23668
8888090550,Rieder,Kansas City,MO,64101
8888090551,Dryden,Evansville,IN,47747
8888090552,Maple,Raleigh,NC,27610
8888090553,International,Fayetteville,NC,28314
8888090554,Springs,Houston,TX,77080
8888090555,Sunbrook,Reno,NV,89505
8888090556,Norway Maple,Rockford,IL,61105
8888090557,Holy Cross,Austin,TX,78789
8888090558,Blaine,San Jose,CA,95138
8888090559,Mallory,Bakersfield,CA,93381
8888090560,Mendota,Charleston,SC,29411
8888090561,Lake View,Mount Vernon,NY,10557
8888090562,Grim,Jacksonville,FL,32236
8888090563,Dwight,Flushing,NY,11388
8888090564,Golden Leaf,Mansfield,OH,44905
8888090565,Pepper Wood,Indianapolis,IN,46254
8888090566,Kensington,Merrifield,VA,22119
8888090567,Corben,Houston,TX,77030
8888090568,Del Sol,Bradenton,FL,34210
8888090569,Union,Tallahassee,FL,32314
8888090570,Glacier Hill,El Paso,TX,79950
8888090571,Larry,Loretto,MN,55598
8888090572,Express,Honolulu,HI,96805
8888090573,Springs,Houston,TX,77065
8888090574,Birchwood,Fort Wayne,IN,46896
8888090575,Kipling,Brooklyn,NY,11247
8888090576,Comanche,Corpus Christi,TX,78465
8888090577,Scott,White Plains,NY,10606
8888090578,Cherokee,Sacramento,CA,94230
8888090579,Shoshone,Delray Beach,FL,33448
8888090580,Vahlen,Alexandria,VA,22333
8888090581,Heffernan,Cincinnati,OH,45999
8888090582,Sutteridge,Washington,DC,20238
8888090583,Di Loreto,Fort Worth,TX,76162
8888090584,Birchwood,Garden Grove,CA,92844
8888090585,Oriole,Dayton,OH,45403
8888090586,Lukken,Detroit,MI,48258
8888090587,Spaight,Houston,TX,77090
8888090588,Longview,Tuscaloosa,AL,35487
8888090589,Hagan,Philadelphia,PA,19131
8888090590,Union,Huntington,WV,25716
8888090591,Thierer,Waltham,MA,2453
8888090592,Monument,Washington,DC,20425
8888090593,Monument,Portsmouth,NH,214
8888090594,Bay,San Diego,CA,92121
8888090595,Lyons,Birmingham,AL,35210
8888090596,Crowley,Denver,CO,80223
8888090597,Buhler,Oakland,CA,94622
8888090598,Northfield,San Jose,CA,95138
8888090599,Stuart,Salt Lake City,UT,84199
8888090600,Barnett,Los Angeles,CA,90040
8888090601,Dennis,San Rafael,CA,94913
8888090602,Laurel,Raleigh,NC,27621
8888090603,Hoard,Lubbock,TX,79491
8888090604,Victoria,Petaluma,CA,94975
8888090605,Prairie Rose,Salt Lake City,UT,84145
8888090606,Superior,Buffalo,NY,14215
8888090607,Park Meadow,Columbus,OH,43210
8888090608,Helena,Lincoln,NE,68531
8888090609,Darwin,Roanoke,VA,24009
8888090610,Buena Vista,Sacramento,CA,94273
8888090611,Rowland,Houston,TX,77223
8888090612,Mockingbird,Nashville,TN,37210
8888090613,Vermont,White Plains,NY,10633
8888090614,Warbler,Saint Louis,MO,63116
8888090615,Oak Valley,Greensboro,NC,27415
8888090616,Grasskamp,Denver,CO,80262
8888090617,Independence,Houston,TX,77299
8888090618,Manitowish,Wichita,KS,67230
8888090619,Oak,Carol Stream,IL,60158
8888090620,Oxford,Washington,DC,20231
8888090621,Bunker Hill,Sioux City,IA,51110
8888090622,Coleman,Evansville,IN,47719
8888090623,Morningstar,Los Angeles,CA,90040
8888090624,Fairfield,Raleigh,NC,27605
8888090625,Acker,Charlotte,NC,28272
8888090626,Johnson,Chicago,IL,60614
8888090627,Debra,Oklahoma City,OK,73129
8888090628,Saint Paul,San Diego,CA,92115
8888090629,Oak,New York City,NY,10170
8888090630,Delaware,Virginia Beach,VA,23454
8888090631,Carioca,Eugene,OR,97405
8888090632,Messerschmidt,Durham,NC,27705
8888090633,Jay,San Diego,CA,92176
8888090634,Warrior,Jackson,MS,39210
8888090635,Saint Paul,Detroit,MI,48206
8888090636,Knutson,New York City,NY,10155
8888090637,Vermont,Oklahoma City,OK,73124
8888090638,Anzinger,Richmond,VA,23260
8888090639,Stephen,Hyattsville,MD,20784
8888090640,Nancy,Washington,DC,20430
8888090641,Reindahl,Saint Paul,MN,55166
8888090642,Hoffman,Albuquerque,NM,87195
8888090643,Bay,Danbury,CT,6816
8888090644,Fieldstone,Pasadena,CA,91103
8888090645,Briar Crest,Raleigh,NC,27626
8888090646,Village Green,Beaumont,TX,77713
8888090647,Hoffman,Amarillo,TX,79116
8888090648,Elka,San Diego,CA,92196
8888090649,Pierstorff,Chicago,IL,60669
8888090650,Tennessee,Great Neck,NY,11024
8888090651,Dunning,Dallas,TX,75342
8888090652,Huxley,Portland,OR,97296
8888090653,Bayside,Miami,FL,33134
8888090654,Elka,Wichita,KS,67260
8888090655,Sugar,Seattle,WA,98158
