lexid,first_name,last_name,ssn,dob,age,gender
8888090530,Rhodia,Gossington,114-52-2474,13-02-1994,29,Female
8888090531,Wheeler,Dugald,487-63-5212,14-04-1978,45,Male
8888090532,Prent,Pinkie,821-33-1231,03-02-2004,19,Male
8888090533,Belicia,Goodwyn,334-97-4301,28-03-1952,71,Female
8888090534,Davidson,Lammers,114-49-2652,26-07-1940,83,Male
8888090535,Felic,Nowlan,398-01-5873,23-06-1998,25,Male
8888090536,Easter,Juett,467-48-9649,28-06-1973,50,Female
8888090537,Hale,Vann,720-36-0227,24-03-2006,17,Male
8888090538,Nikola,Cymper,858-82-9787,04-09-1998,25,Male
8888090539,Thane,Dinsmore,585-32-7236,29-01-1979,44,Male
8888090540,Cyrus,Goulbourne,514-10-4974,24-05-1956,67,Male
8888090541,Ric,Pickering,853-20-7060,26-05-1961,62,Male
8888090542,Tallie,Cabral,570-49-5639,03-09-1970,53,Male
8888090543,Osbert,Alekhov,275-38-3624,14-06-1994,29,Male
8888090544,Radcliffe,Sayce,740-07-2208,05-04-1989,34,Male
8888090545,Jelene,Parkeson,104-32-2703,16-12-1995,28,Female
8888090546,Kaspar,Everex,293-58-3849,19-01-1994,29,Male
8888090547,Birch,Hubbocks,176-35-7272,03-01-1955,68,Male
8888090548,Rosaleen,Tapsell,218-47-9739,06-09-1981,42,Female
8888090549,Jay,Bradane,535-03-3446,30-12-1978,45,Male
8888090550,Mead,Ginnelly,104-60-4263,30-05-1981,42,Female
8888090551,Alisa,Canellas,227-70-9413,12-05-1943,80,Female
8888090552,Britni,Bartusek,220-02-5680,08-02-1952,71,Female
8888090553,Koren,Attreed,588-45-5237,11-01-1959,64,Female
8888090554,Rob,Fiennes,594-05-4489,12-12-1942,81,Male
8888090555,Alysa,Nacci,269-71-8046,02-07-2004,19,Female
8888090556,Lindsay,Brooker,274-49-3627,08-02-1957,66,Female
8888090557,Devin,Klosges,169-42-6069,03-08-1958,65,Male
8888090558,Rollins,Barfford,506-09-0356,04-04-1952,71,Male
8888090559,Corrine,Bramo,358-54-6955,13-02-2004,19,Female
8888090560,Guillaume,Matysiak,728-34-7957,21-07-1987,36,Male
8888090561,Sayres,Jordanson,502-85-4414,05-08-1992,31,Male
8888090562,Shayne,Manterfield,524-04-6077,29-08-1954,69,Male
8888090563,Alvan,Meyer,479-11-0837,31-05-1955,68,Male
8888090564,Sari,Omar,344-55-5994,23-04-1979,44,Female
8888090565,Wadsworth,Grinyakin,283-96-6070,10-03-2008,15,Male
8888090566,Tades,Kilshaw,844-83-0169,14-05-1997,26,Male
8888090567,Duff,Fawke,176-32-2724,15-10-1961,62,Male
8888090568,Sebastien,Postle,355-50-1155,19-02-1948,75,Male
8888090569,Clementius,Archdeacon,667-40-3820,22-04-1941,82,Male
8888090570,Shayna,Cyson,374-74-0465,05-11-1974,49,Female
8888090571,Issie,Renac,631-10-5085,05-06-1941,82,Female
8888090572,Hinda,Titcom,384-25-9740,25-12-1969,54,Female
8888090573,Dulcie,Dowsing,867-29-5366,25-03-1941,82,Female
8888090574,Sara-ann,Hinkley,806-91-3750,26-04-1957,66,Female
8888090575,Harper,Kohrsen,487-75-1594,12-06-1965,58,Male
8888090576,Jemimah,Kubu,170-06-6730,20-10-1984,39,Female
8888090577,Ailina,Empson,744-04-1030,06-07-1990,33,Female
8888090578,Eddie,Pillifant,722-58-8446,01-10-2007,16,Male
8888090579,Nerte,Brazer,723-67-9274,23-10-1966,57,Female
8888090580,Albert,Foard,818-71-3121,11-10-1957,66,Male
8888090581,Mattie,Rosel,376-10-2578,27-11-1943,80,Male
8888090582,Dorolisa,Faithfull,516-99-6099,24-02-1982,41,Female
8888090583,Hallsy,Corragan,305-21-0231,10-06-1941,82,Male
8888090584,Vanni,Renols,145-50-3809,20-02-1990,33,Female
8888090585,Robert,Scruby,401-79-2126,20-10-1973,50,Male
8888090586,Teddie,Chesshire,164-78-9096,19-11-1999,24,Male
8888090587,Alexandro,Oliva,793-44-3475,10-01-1966,57,Male
8888090588,Berte,Sturror,842-82-4045,12-04-1969,54,Female
8888090589,Arlee,Caveau,308-86-2084,29-04-1958,65,Female
8888090590,Micky,Hilley,597-58-1586,26-09-2002,21,Male
8888090591,Ira,Yeardsley,544-39-1785,24-07-1949,74,Male
8888090592,Victoir,Branford,603-56-0222,31-01-1977,46,Male
8888090593,Xylina,Meriet,756-33-9090,05-01-1987,36,Female
8888090594,Darsie,Porcas,703-70-5884,07-10-1966,57,Female
8888090595,Shelli,Oxley,512-31-8226,01-01-1977,46,Female
8888090596,Skippy,Gounel,177-29-5201,01-11-1983,40,Male
8888090597,Hagen,Goodbourn,244-23-7044,21-02-1947,76,Male
8888090598,Jonah,Cortnay,364-11-7225,10-08-1952,71,Male
8888090599,Lizbeth,Linzee,483-39-0522,11-07-2007,16,Female
8888090600,Daren,Tucker,770-10-1370,01-09-1966,57,Male
8888090601,Ring,Granville,669-25-6654,20-11-1959,64,Male
8888090602,Nicolais,Jone,349-19-2974,05-06-1987,36,Male
8888090603,Portia,Alberti,454-52-4767,01-09-1973,50,Female
8888090604,Augustus,Ungerer,721-38-5091,04-08-1950,73,Male
8888090605,Nora,Sainsberry,201-38-1825,16-08-2003,20,Female
8888090606,Janene,Maevela,423-61-1311,04-09-2006,17,Female
8888090607,Marice,Luipold,351-20-7830,28-06-1954,69,Female
8888090608,Court,Couchman,366-14-5137,24-01-2009,14,Male
8888090609,Dion,Shaves,563-05-8405,11-11-1957,66,Female
8888090610,Binky,Franciottoi,767-22-0460,08-09-1960,63,Male
8888090611,Barde,Doog,650-01-4917,15-02-1953,70,Male
8888090612,Yettie,Chedgey,136-07-5597,16-05-1981,42,Female
8888090613,Dorree,Camp,894-59-0430,08-07-1955,68,Female
8888090614,Shirline,Wheelhouse,240-17-3758,11-03-1965,58,Female
8888090615,Morgen,O'Dennehy,855-69-8324,15-02-1961,62,Female
8888090616,Roxi,Piotr,677-73-0003,10-03-1954,69,Female
8888090617,Merilyn,De Anesy,646-43-2943,30-09-2007,16,Female
8888090618,Delinda,Sowrey,140-25-4630,15-02-1985,38,Female
8888090619,Datha,Bedells,879-73-9938,19-09-1969,54,Female
8888090620,Constance,McKinless,302-67-5952,22-05-1992,31,Female
8888090621,Davide,Nelthrop,718-07-5173,14-06-1994,29,Male
8888090622,Willy,Luckcock,283-81-4981,20-11-1944,79,Male
8888090623,Jojo,Leversuch,349-17-4609,03-03-1990,33,Female
8888090624,Elwin,O'Cleary,445-28-2160,22-12-1977,46,Male
8888090625,Chaddie,Bumford,441-49-3658,04-02-1993,30,Male
8888090626,Theresa,Polfer,506-72-9204,30-12-1952,71,Female
8888090627,Fletch,Dicty,196-75-9819,11-04-1944,79,Male
8888090628,Janis,Oldcote,744-96-1582,23-08-2005,18,Female
8888090629,Euell,Seleway,752-37-5030,14-08-1977,46,Male
8888090630,Angel,Brimming,285-10-2945,29-03-1992,31,Male
8888090631,Rosmunda,Roll,327-73-0037,21-08-1987,36,Female
8888090632,Gabriell,Dearn,436-50-2921,02-03-1974,49,Female
8888090633,Edythe,Gerraty,547-50-1716,20-01-1977,46,Female
8888090634,Orella,Maith,574-95-7142,02-10-1969,54,Female
8888090635,Kare,Knowller,583-89-7210,07-11-1979,44,Female
8888090636,Leonanie,Dowers,789-08-9628,27-03-1975,48,Female
8888090637,Tawnya,Wyllcock,698-38-9642,12-12-1967,56,Female
8888090638,Hurley,McGarrity,334-89-8830,15-03-1994,29,Male
8888090639,Halli,Chazerand,842-63-3786,08-05-1962,61,Female
8888090640,Far,Battson,680-65-2404,28-05-1955,68,Male
8888090641,Samuele,Botham,321-81-0299,18-07-1956,67,Male
8888090642,Regan,Andrichak,505-21-4972,07-10-1957,66,Male
8888090643,Kelwin,Kemet,568-61-2490,11-01-2006,17,Male
8888090644,Ricki,McWaters,345-47-4794,03-01-2002,21,Female
8888090645,Johnny,Cumbridge,235-25-1671,19-06-1995,28,Male
8888090646,Estel,Spini,296-44-1877,17-08-2009,14,Female
8888090647,Alix,Shilling,609-18-7077,30-04-1942,81,Male
8888090648,Phoebe,Greatrex,542-97-7301,28-03-1995,28,Female
8888090649,Nathanael,Epdell,243-75-5935,28-01-1986,37,Male
8888090650,Juan,Conry,616-23-6527,07-08-1985,38,Male
8888090651,Dulcy,Shurey,336-95-4838,28-10-1982,41,Female
8888090652,Adina,Treverton,288-08-3074,21-01-2003,20,Female
8888090653,Rica,Andrini,344-22-8537,13-06-1988,35,Female
8888090654,Simona,Saterweyte,488-64-6025,01-12-1990,33,Female
8888090655,Scot,Trewhitt,433-18-1930,03-04-1976,47,Male
8888090656,Brander,Thorald,634-90-6625,31-07-1963,60,Male
8888090657,Glori,Ebben,558-86-5954,09-09-2002,21,Female
8888090658,Grover,Trickett,658-57-7799,21-07-1995,28,Male
8888090659,Cosme,Petrushkevich,199-19-0099,02-07-1945,78,Male
8888090660,Mose,Smees,650-62-7020,29-07-1977,46,Male
8888090661,Bellina,Bruyet,891-11-0379,24-06-1995,28,Female
8888090662,Kleon,Ortega,609-71-6143,17-03-1976,47,Male
8888090663,Hayyim,Tchir,899-12-2496,01-06-1990,33,Male
8888090664,Sigvard,McFadin,576-05-0185,03-12-1987,36,Male
8888090665,Welsh,Reynold,655-93-3203,20-11-1995,28,Male
8888090666,Terence,Demko,122-48-0833,13-05-1998,25,Male
8888090667,Clara,Shropsheir,705-07-7315,10-06-1952,71,Female
8888090668,Fin,Martello,591-10-8029,15-05-1953,70,Male
8888090669,Creight,Dulieu,892-42-5138,22-10-2001,22,Male
8888090670,Denney,Wafer,351-72-7521,28-02-1986,37,Male
8888090671,Germayne,Bernth,451-31-3266,30-08-2007,16,Male
8888090672,Jordain,Prestney,805-08-5106,28-04-1950,73,Female
8888090673,Shanda,Early,233-11-5713,06-08-1980,43,Female
8888090674,Hedvig,Girk,606-84-0260,13-09-1968,55,Female
8888090675,Annamarie,Heinel,228-76-2645,27-08-1965,58,Female
8888090676,Marybelle,Ragless,762-34-1094,19-02-2004,19,Female
8888090677,Hasty,Whiteland,443-88-8686,03-05-1977,46,Male
8888090678,John,Winchcomb,410-79-9431,22-06-2006,17,Male
8888090679,Conan,Kleinplac,652-09-9244,29-01-1990,33,Male
8888090680,Edlin,Balsellie,834-54-2564,05-02-2003,20,Male
8888090681,Martha,Sheldon,838-15-3440,06-09-1948,75,Female
8888090682,Phil,Titherington,521-88-6563,15-03-2003,20,Male
8888090683,Bartram,Sycamore,811-89-3576,19-12-1992,31,Male
